================================================================================================
DAILY-MEAN CONTRACT CHECK — D+1, thresholds: {"pm25": {"r2": 0.7, "rmse": 20.0}, "no2": {"r2": 0.7, "rmse": 20.0}, "o3": {"r2": 0.7, "rmse": 20.0}, "so2": {"r2": 0.7, "rmse": 20.0}, "pm10": {"r2": 0.5, "rmse": 45.0}}
================================================================================================
pollutant  window                            pass  marg  fail total
 6929 Major Dhyan Chand National pm25   holdout_120d                     D+3      17.64   -0.866
 6929 Major Dhyan Chand National pm10   fold_1_stubble_oct_nov_2025      D+2      76.46    0.426
 6929 Major Dhyan Chand National pm10   fold_1_stubble_oct_nov_2025      D+3      74.86    0.413
 6929 Major Dhyan Chand National pm10   fold_2                           D+2      71.30    0.530
 6929 Major Dhyan Chand National pm10   fold_2                           D+3      70.12    0.544
 6929 Major Dhyan Chand National pm10   fold_3                           D+2      55.51    0.143
 6929 Major Dhyan Chand National pm10   fold_3                           D+3      56.46    0.106
 6929 Major Dhyan Chand National pm10   holdout_120d                     D+2      52.95    0.305
 6929 Major Dhyan Chand National pm10   holdout_120d                     D+3      53.20    0.297
 6929 Major Dhyan Chand National no2    fold_1_stubble_oct_nov_2025      D+2      16.58    0.369
 6929 Major Dhyan Chand National no2    fold_1_stubble_oct_nov_2025      D+3      16.32    0.333
 6929 Major Dhyan Chand National no2    fold_2                           D+2      13.21    0.636
 6929 Major Dhyan Chand National no2    fold_2                           D+3      13.17    0.637
 6929 Major Dhyan Chand National no2    fold_3                           D+2      15.11    0.108
 6929 Major Dhyan Chand National no2    fold_3                           D+3      15.65    0.036
 6929 Major Dhyan Chand National no2    holdout_120d                     D+2      11.44    0.085
 6929 Major Dhyan Chand National no2    holdout_120d                     D+3      11.47    0.062
 6929 Major Dhyan Chand National o3     fold_1_stubble_oct_nov_2025      D+2      17.95   -0.302
 6929 Major Dhyan Chand National o3     fold_1_stubble_oct_nov_2025      D+3      17.53   -0.261
 6929 Major Dhyan Chand National o3     fold_2                           D+2      15.50    0.161
 6929 Major Dhyan Chand National o3     fold_2                           D+3      15.46    0.170
 6929 Major Dhyan Chand National o3     fold_3                           D+2      14.61   -0.216
 6929 Major Dhyan Chand National o3     fold_3                           D+3      14.78   -0.237
 6929 Major Dhyan Chand National o3     holdout_120d                     D+2       8.63   -0.364
 6929 Major Dhyan Chand National o3     holdout_120d                     D+3       8.71   -0.383
 6929 Major Dhyan Chand National so2    fold_1_stubble_oct_nov_2025      D+2       5.53    0.405
 6929 Major Dhyan Chand National so2    fold_1_stubble_oct_nov_2025      D+3       5.71    0.343
 6929 Major Dhyan Chand National so2    fold_2                           D+2       4.94    0.526
 6929 Major Dhyan Chand National so2    fold_2                           D+3       5.32    0.446
 6929 Major Dhyan Chand National so2    fold_3                           D+2       4.39    0.633
 6929 Major Dhyan Chand National so2    fold_3                           D+3       4.83    0.551
 6929 Major Dhyan Chand National so2    holdout_120d                     D+2       4.42    0.180
 6929 Major Dhyan Chand National so2    holdout_120d                     D+3       4.69    0.056
 6931 Dwarka Sector 8            pm25   fold_1_stubble_oct_nov_2025      D+2      78.31    0.245
 6931 Dwarka Sector 8            pm25   fold_1_stubble_oct_nov_2025      D+3      77.35    0.241
 6931 Dwarka Sector 8            pm25   fold_2                           D+2      69.10    0.446
 6931 Dwarka Sector 8            pm25   fold_2                           D+3      67.89    0.463
 6931 Dwarka Sector 8            pm25   fold_3                           D+2      31.58    0.506
 6931 Dwarka Sector 8            pm25   fold_3                           D+3      32.58    0.470
 6931 Dwarka Sector 8            pm25   holdout_120d                     D+2      16.45   -0.005
 6931 Dwarka Sector 8            pm25   holdout_120d                     D+3      16.45   -0.054
 6931 Dwarka Sector 8            pm10   fold_1_stubble_oct_nov_2025      D+2     117.63    0.217
 6931 Dwarka Sector 8            pm10   fold_1_stubble_oct_nov_2025      D+3     121.55    0.150
 6931 Dwarka Sector 8            pm10   fold_2                           D+2     101.33    0.338
 6931 Dwarka Sector 8            pm10   fold_2                           D+3     105.16    0.287
 6931 Dwarka Sector 8            pm10   fold_3                           D+2      89.09   -0.064
 6931 Dwarka Sector 8            pm10   fold_3                           D+3      90.71   -0.112
 6931 Dwarka Sector 8            pm10   holdout_120d                     D+2      80.61    0.009
 6931 Dwarka Sector 8            pm10   holdout_120d                     D+3      82.66   -0.046
 6931 Dwarka Sector 8            no2    fold_1_stubble_oct_nov_2025      D+2      16.87    0.170
 6931 Dwarka Sector 8            no2    fold_1_stubble_oct_nov_2025      D+3      16.91    0.138
 6931 Dwarka Sector 8            no2    fold_2                           D+2      14.92    0.490
 6931 Dwarka Sector 8            no2    fold_2                           D+3      15.22    0.463
 6931 Dwarka Sector 8            no2    fold_3                           D+2      18.56   -0.121
 6931 Dwarka Sector 8            no2    fold_3                           D+3      18.44   -0.103
 6931 Dwarka Sector 8            no2    holdout_120d                     D+2       9.48    0.119
 6931 Dwarka Sector 8            no2    holdout_120d                     D+3       9.84    0.056
 6931 Dwarka Sector 8            o3     fold_1_stubble_oct_nov_2025      D+2      12.21   -0.168
 6931 Dwarka Sector 8            o3     fold_1_stubble_oct_nov_2025      D+3      11.74   -0.131
 6931 Dwarka Sector 8            o3     fold_2                           D+2      11.90    0.072
 6931 Dwarka Sector 8            o3     fold_2                           D+3      11.42    0.151
 6931 Dwarka Sector 8            o3     fold_3                           D+2      15.15    0.209
 6931 Dwarka Sector 8            o3     fold_3                           D+3      14.70    0.249
 6931 Dwarka Sector 8            o3     holdout_120d                     D+2       9.82    0.233
 6931 Dwarka Sector 8            o3     holdout_120d                     D+3      10.08    0.175
 6931 Dwarka Sector 8            so2    fold_1_stubble_oct_nov_2025      D+2      10.60   -0.164
 6931 Dwarka Sector 8            so2    fold_1_stubble_oct_nov_2025      D+3      11.21   -0.290
 6931 Dwarka Sector 8            so2    fold_2                           D+2       8.15    0.035
 6931 Dwarka Sector 8            so2    fold_2                           D+3       8.67   -0.100
 6931 Dwarka Sector 8            so2    fold_3                           D+2       4.67    0.025
 6931 Dwarka Sector 8            so2    fold_3                           D+3       5.03   -0.121
 6931 Dwarka Sector 8            so2    holdout_120d                     D+2       6.65   -0.334
 6931 Dwarka Sector 8            so2    holdout_120d                     D+3       6.22   -0.218
 6932 Alipur                     pm25   fold_1_stubble_oct_nov_2025      D+2      50.11    0.650
 6932 Alipur                     pm25   fold_1_stubble_oct_nov_2025      D+3      51.48    0.614
 6932 Alipur                     pm25   fold_2                           D+2      48.09    0.663
 6932 Alipur                     pm25   fold_2                           D+3      48.81    0.651
 6932 Alipur                     pm25   fold_3                           D+2      29.50    0.379
 6932 Alipur                     pm25   fold_3                           D+3      30.31    0.341
 6932 Alipur                     pm25   holdout_120d                     D+2      18.12    0.115
 6932 Alipur                     pm25   holdout_120d                     D+3      18.12    0.117
 6932 Alipur                     pm10   fold_1_stubble_oct_nov_2025      D+2      87.23    0.573
 6932 Alipur                     pm10   fold_1_stubble_oct_nov_2025      D+3      83.50    0.581
 6932 Alipur                     pm10   fold_2                           D+2      79.95    0.612
 6932 Alipur                     pm10   fold_2                           D+3      77.67    0.631
 6932 Alipur                     pm10   fold_3                           D+2      73.60    0.270
 6932 Alipur                     pm10   fold_3                           D+3      76.96    0.195
 6932 Alipur                     pm10   holdout_120d                     D+2      89.60   -0.229
 6932 Alipur                     pm10   holdout_120d                     D+3      91.63   -0.281
 6932 Alipur                     no2    fold_1_stubble_oct_nov_2025      D+2      11.04    0.589
 6932 Alipur                     no2    fold_1_stubble_oct_nov_2025      D+3      10.83    0.565
 6932 Alipur                     no2    fold_2                           D+2       9.79    0.694
 6932 Alipur                     no2    fold_2                           D+3      10.07    0.672
 6932 Alipur                     no2    fold_3                           D+2      10.30    0.003
 6932 Alipur                     no2    fold_3                           D+3      10.52   -0.046
 6932 Alipur                     no2    holdout_120d                     D+2      12.66    0.164
 6932 Alipur                     no2    holdout_120d                     D+3      13.30    0.083
 6932 Alipur                     o3     fold_1_stubble_oct_nov_2025      D+2       5.80   -0.133
 6932 Alipur                     o3     fold_1_stubble_oct_nov_2025      D+3       6.06   -0.259
 6932 Alipur                     o3     fold_2                           D+2       5.98    0.155
 6932 Alipur                     o3     fold_2                           D+3       6.14    0.100
 6932 Alipur                     o3     fold_3                           D+2       7.33   -0.207
 6932 Alipur                     o3     fold_3                           D+3       7.02   -0.112
 6932 Alipur                     o3     holdout_120d                     D+2       7.46   -0.296
 6932 Alipur                     o3     holdout_120d                     D+3       7.68   -0.418
 6932 Alipur                     so2    fold_1_stubble_oct_nov_2025      D+2       4.24    0.571
 6932 Alipur                     so2    fold_1_stubble_oct_nov_2025      D+3       4.74    0.454
 6932 Alipur                     so2    fold_2                           D+2       3.93    0.530
 6932 Alipur                     so2    fold_2                           D+3       4.36    0.425
 6932 Alipur                     so2    fold_3                           D+2       4.37   -0.024
 6932 Alipur                     so2    fold_3                           D+3       4.59   -0.141
 6932 Alipur                     so2    holdout_120d                     D+2       3.76    0.087
 6932 Alipur                     so2    holdout_120d                     D+3       3.78    0.081
 6934 Dr. Karni Singh Shooting R pm25   fold_1_stubble_oct_nov_2025      D+2      62.53    0.421
 6934 Dr. Karni Singh Shooting R pm25   fold_1_stubble_oct_nov_2025      D+3      62.02    0.404
 6934 Dr. Karni Singh Shooting R pm25   fold_2                           D+2      58.69    0.553
 6934 Dr. Karni Singh Shooting R pm25   fold_2                           D+3      57.84    0.563
 6934 Dr. Karni Singh Shooting R pm25   fold_3                           D+2      25.10    0.608
 6934 Dr. Karni Singh Shooting R pm25   fold_3                           D+3      24.98    0.609
 6934 Dr. Karni Singh Shooting R pm25   holdout_120d                     D+2      12.19    0.066
 6934 Dr. Karni Singh Shooting R pm25   holdout_120d                     D+3      12.29    0.003
 6934 Dr. Karni Singh Shooting R pm10   fold_1_stubble_oct_nov_2025      D+2      81.77    0.377
 6934 Dr. Karni Singh Shooting R pm10   fold_1_stubble_oct_nov_2025      D+3      79.26    0.378
 6934 Dr. Karni Singh Shooting R pm10   fold_2                           D+2      76.00    0.486
 6934 Dr. Karni Singh Shooting R pm10   fold_2                           D+3      73.85    0.513
 6934 Dr. Karni Singh Shooting R pm10   fold_3                           D+2      59.99    0.228
 6934 Dr. Karni Singh Shooting R pm10   fold_3                           D+3      61.16    0.195
 6934 Dr. Karni Singh Shooting R pm10   holdout_120d                     D+2      65.16    0.203
 6934 Dr. Karni Singh Shooting R pm10   holdout_120d                     D+3      63.59    0.232
 6934 Dr. Karni Singh Shooting R no2    fold_1_stubble_oct_nov_2025      D+2      15.07    0.426
 6934 Dr. Karni Singh Shooting R no2    fold_1_stubble_oct_nov_2025      D+3      15.70    0.379
 6934 Dr. Karni Singh Shooting R no2    fold_2                           D+2      16.14    0.471
 6934 Dr. Karni Singh Shooting R no2    fold_2                           D+3      16.81    0.425
 6934 Dr. Karni Singh Shooting R no2    fold_3                           D+2      14.51   -0.161
 6934 Dr. Karni Singh Shooting R no2    fold_3                           D+3      15.86   -0.261
 6934 Dr. Karni Singh Shooting R no2    holdout_120d                     D+2      13.74   -0.682
 6934 Dr. Karni Singh Shooting R no2    holdout_120d                     D+3      13.28   -1.158
 6934 Dr. Karni Singh Shooting R o3     fold_1_stubble_oct_nov_2025      D+2      11.65    0.021
 6934 Dr. Karni Singh Shooting R o3     fold_1_stubble_oct_nov_2025      D+3      12.64   -0.103
 6934 Dr. Karni Singh Shooting R o3     fold_2                           D+2      13.74    0.079
 6934 Dr. Karni Singh Shooting R o3     fold_2                           D+3      14.44   -0.010
 6934 Dr. Karni Singh Shooting R o3     fold_3                           D+2      16.36   -0.114
 6934 Dr. Karni Singh Shooting R o3     fold_3                           D+3      15.75   -0.041
 6934 Dr. Karni Singh Shooting R o3     holdout_120d                     D+2       8.67    0.586
 6934 Dr. Karni Singh Shooting R o3     holdout_120d                     D+3       8.78    0.570
 6934 Dr. Karni Singh Shooting R so2    fold_1_stubble_oct_nov_2025      D+2       6.34    0.340
 6934 Dr. Karni Singh Shooting R so2    fold_1_stubble_oct_nov_2025      D+3       6.97    0.160
 6934 Dr. Karni Singh Shooting R so2    fold_2                           D+2       4.88    0.479
 6934 Dr. Karni Singh Shooting R so2    fold_2                           D+3       5.39    0.369
 6934 Dr. Karni Singh Shooting R so2    fold_3                           D+2       4.12    0.235
 6934 Dr. Karni Singh Shooting R so2    fold_3                           D+3       4.71    0.006
 6934 Dr. Karni Singh Shooting R so2    holdout_120d                     D+2       3.04    0.529
 6934 Dr. Karni Singh Shooting R so2    holdout_120d                     D+3       3.01    0.515
 6957 Jawaharlal Nehru Stadium   pm25   fold_3                           D+2      27.25    0.514
 6957 Jawaharlal Nehru Stadium   pm25   fold_3                           D+3      28.94    0.450
 6957 Jawaharlal Nehru Stadium   pm25   holdout_120d                     D+2      27.79   -4.414
 6957 Jawaharlal Nehru Stadium   pm25   holdout_120d                     D+3      27.95   -4.519
 6957 Jawaharlal Nehru Stadium   pm10   fold_3                           D+2      69.94    0.171
 6957 Jawaharlal Nehru Stadium   pm10   fold_3                           D+3      69.34    0.178
 6957 Jawaharlal Nehru Stadium   pm10   holdout_120d                     D+2      68.16    0.031
 6957 Jawaharlal Nehru Stadium   pm10   holdout_120d                     D+3      68.34    0.023
 6957 Jawaharlal Nehru Stadium   no2    fold_3                           D+2      12.81    0.179
 6957 Jawaharlal Nehru Stadium   no2    fold_3                           D+3      13.20    0.123
 6957 Jawaharlal Nehru Stadium   no2    holdout_120d                     D+2      24.38   -2.006
 6957 Jawaharlal Nehru Stadium   no2    holdout_120d                     D+3      24.48   -2.064
 6957 Jawaharlal Nehru Stadium   o3     fold_3                           D+2      15.73    0.169
 6957 Jawaharlal Nehru Stadium   o3     fold_3                           D+3      16.54    0.075
 6957 Jawaharlal Nehru Stadium   o3     holdout_120d                     D+2      15.04   -1.292
 6957 Jawaharlal Nehru Stadium   o3     holdout_120d                     D+3      15.52   -1.536
 6957 Jawaharlal Nehru Stadium   so2    fold_3                           D+2      13.60    0.071
 6957 Jawaharlal Nehru Stadium   so2    fold_3                           D+3      14.64   -0.085
 6957 Jawaharlal Nehru Stadium   so2    holdout_120d                     D+2       4.98    0.417
 6957 Jawaharlal Nehru Stadium   so2    holdout_120d                     D+3       5.27    0.350
 6978 Greater Noida (Knowledge P pm25   fold_1_stubble_oct_nov_2025      D+2      49.58    0.415
 6978 Greater Noida (Knowledge P pm25   fold_1_stubble_oct_nov_2025      D+3      46.71    0.457
 6978 Greater Noida (Knowledge P pm25   fold_2                           D+2      48.15    0.482
 6978 Greater Noida (Knowledge P pm25   fold_2                           D+3      46.43    0.518
 6978 Greater Noida (Knowledge P pm25   fold_3                           D+2      23.71    0.407
 6978 Greater Noida (Knowledge P pm25   fold_3                           D+3      24.66    0.353
 6978 Greater Noida (Knowledge P pm25   holdout_120d                     D+2      26.30    0.176
 6978 Greater Noida (Knowledge P pm25   holdout_120d                     D+3      27.91    0.072
 6978 Greater Noida (Knowledge P pm10   fold_1_stubble_oct_nov_2025      D+2      82.09    0.438
 6978 Greater Noida (Knowledge P pm10   fold_1_stubble_oct_nov_2025      D+3      80.27    0.447
 6978 Greater Noida (Knowledge P pm10   fold_2                           D+2      77.53    0.402
 6978 Greater Noida (Knowledge P pm10   fold_2                           D+3      77.75    0.403
 6978 Greater Noida (Knowledge P pm10   fold_3                           D+2      74.69   -0.137
 6978 Greater Noida (Knowledge P pm10   fold_3                           D+3      81.90   -0.364
 6978 Greater Noida (Knowledge P pm10   holdout_120d                     D+2      89.89    0.085
 6978 Greater Noida (Knowledge P pm10   holdout_120d                     D+3      90.40    0.067
 6978 Greater Noida (Knowledge P no2    fold_1_stubble_oct_nov_2025      D+2      22.34   -0.160
 6978 Greater Noida (Knowledge P no2    fold_1_stubble_oct_nov_2025      D+3      22.68   -0.251
 6978 Greater Noida (Knowledge P no2    fold_2                           D+2      21.19    0.278
 6978 Greater Noida (Knowledge P no2    fold_2                           D+3      21.29    0.275
 6978 Greater Noida (Knowledge P no2    fold_3                           D+2      18.40    0.421
 6978 Greater Noida (Knowledge P no2    fold_3                           D+3      19.29    0.359
 6978 Greater Noida (Knowledge P no2    holdout_120d                     D+2       9.85   -0.148
 6978 Greater Noida (Knowledge P no2    holdout_120d                     D+3       9.79   -0.175
 6978 Greater Noida (Knowledge P o3     fold_1_stubble_oct_nov_2025      D+2      13.20   -0.209
 6978 Greater Noida (Knowledge P o3     fold_1_stubble_oct_nov_2025      D+3      13.52   -0.264
 6978 Greater Noida (Knowledge P o3     fold_2                           D+2      11.54    0.220
 6978 Greater Noida (Knowledge P o3     fold_2                           D+3      11.87    0.181
 6978 Greater Noida (Knowledge P o3     fold_3                           D+2      11.27    0.387
 6978 Greater Noida (Knowledge P o3     fold_3                           D+3      11.42    0.365
 6978 Greater Noida (Knowledge P o3     holdout_120d                     D+2      19.01    0.008
 6978 Greater Noida (Knowledge P o3     holdout_120d                     D+3      18.87    0.032
 6978 Greater Noida (Knowledge P so2    fold_1_stubble_oct_nov_2025      D+2       6.65    0.178
 6978 Greater Noida (Knowledge P so2    fold_1_stubble_oct_nov_2025      D+3       6.62    0.189
 6978 Greater Noida (Knowledge P so2    fold_2                           D+2       5.69    0.274
 6978 Greater Noida (Knowledge P so2    fold_2                           D+3       5.70    0.275
 6978 Greater Noida (Knowledge P so2    fold_3                           D+2      18.05    0.072
 6978 Greater Noida (Knowledge P so2    fold_3                           D+3      18.09    0.061
 6978 Greater Noida (Knowledge P so2    holdout_120d                     D+2       6.79   -1.605
 6978 Greater Noida (Knowledge P so2    holdout_120d                     D+3       6.85   -1.898
 6980 Noida Sector 1             pm25   fold_3                           D+2      32.35    0.435
 6980 Noida Sector 1             pm25   fold_3                           D+3      32.56    0.425
 6980 Noida Sector 1             pm25   holdout_120d                     D+2      16.50    0.173
 6980 Noida Sector 1             pm25   holdout_120d                     D+3      15.95    0.227
 6980 Noida Sector 1             pm10   fold_3                           D+2      63.68    0.125
 6980 Noida Sector 1             pm10   fold_3                           D+3      66.25    0.051
 6980 Noida Sector 1             pm10   holdout_120d                     D+2      74.62    0.130
 6980 Noida Sector 1             pm10   holdout_120d                     D+3      75.73    0.094
 6980 Noida Sector 1             no2    fold_3                           D+2      23.70    0.311
 6980 Noida Sector 1             no2    fold_3                           D+3      24.50    0.257
 6980 Noida Sector 1             no2    holdout_120d                     D+2      16.23   -0.141
 6980 Noida Sector 1             no2    holdout_120d                     D+3      17.29   -0.311
 6980 Noida Sector 1             o3     fold_3                           D+2      16.49    0.525
 6980 Noida Sector 1             o3     fold_3                           D+3      16.39    0.528
 6980 Noida Sector 1             o3     holdout_120d                     D+2      26.86   -0.436
 6980 Noida Sector 1             o3     holdout_120d                     D+3      26.28   -0.363
 6980 Noida Sector 1             so2    fold_3                           D+2       4.02    0.359
 6980 Noida Sector 1             so2    fold_3                           D+3       4.05    0.348
 6980 Noida Sector 1             so2    holdout_120d                     D+2       5.85   -2.104
 6980 Noida Sector 1             so2    holdout_120d                     D+3       5.67   -2.043
 6988 Noida Sector 116           pm25   fold_1_stubble_oct_nov_2025      D+2      80.22    0.186
 6988 Noida Sector 116           pm25   fold_1_stubble_oct_nov_2025      D+3      81.72    0.132
 6988 Noida Sector 116           pm25   fold_2                           D+2      97.51    0.054
 6988 Noida Sector 116           pm25   fold_2                           D+3     101.81   -0.036
 6988 Noida Sector 116           pm25   fold_3                           D+2      66.08   -0.547
 6988 Noida Sector 116           pm25   fold_3                           D+3      59.17   -0.247
 6988 Noida Sector 116           pm25   holdout_120d                     D+2      21.74   -0.866
 6988 Noida Sector 116           pm25   holdout_120d                     D+3      22.10   -0.915
 6988 Noida Sector 116           pm10   fold_1_stubble_oct_nov_2025      D+2      92.80    0.609
 6988 Noida Sector 116           pm10   fold_1_stubble_oct_nov_2025      D+3     103.98    0.488
 6988 Noida Sector 116           pm10   fold_2                           D+2      89.09    0.635
 6988 Noida Sector 116           pm10   fold_2                           D+3      95.89    0.578
 6988 Noida Sector 116           pm10   fold_3                           D+2      71.34    0.132
 6988 Noida Sector 116           pm10   fold_3                           D+3      72.36    0.100
 6988 Noida Sector 116           pm10   holdout_120d                     D+2     138.37   -0.383
 6988 Noida Sector 116           pm10   holdout_120d                     D+3     137.61   -0.359
 6988 Noida Sector 116           no2    fold_1_stubble_oct_nov_2025      D+2      27.85    0.239
 6988 Noida Sector 116           no2    fold_1_stubble_oct_nov_2025      D+3      33.16   -0.031
 6988 Noida Sector 116           no2    fold_2                           D+2      26.33    0.350
 6988 Noida Sector 116           no2    fold_2                           D+3      29.58    0.178
 6988 Noida Sector 116           no2    fold_3                           D+2      26.26    0.145
 6988 Noida Sector 116           no2    fold_3                           D+3      27.76    0.037
 6988 Noida Sector 116           no2    holdout_120d                     D+2      17.59   -0.571
 6988 Noida Sector 116           no2    holdout_120d                     D+3      17.48   -0.561
 6988 Noida Sector 116           o3     fold_1_stubble_oct_nov_2025      D+2      17.67   -0.746
 6988 Noida Sector 116           o3     fold_1_stubble_oct_nov_2025      D+3      18.33   -0.854
 6988 Noida Sector 116           o3     fold_2                           D+2      18.94   -0.556
 6988 Noida Sector 116           o3     fold_2                           D+3      19.79   -0.694
 6988 Noida Sector 116           o3     fold_3                           D+2      24.46   -0.245
 6988 Noida Sector 116           o3     fold_3                           D+3      26.75   -0.478
 6988 Noida Sector 116           o3     holdout_120d                     D+2      25.12   -0.418
 6988 Noida Sector 116           o3     holdout_120d                     D+3      24.87   -0.379
 6988 Noida Sector 116           so2    fold_1_stubble_oct_nov_2025      D+2       7.72   -0.817
 6988 Noida Sector 116           so2    fold_1_stubble_oct_nov_2025      D+3       7.95   -0.926
 6988 Noida Sector 116           so2    fold_2                           D+2       6.07   -0.095
 6988 Noida Sector 116           so2    fold_2                           D+3       6.28   -0.165
 6988 Noida Sector 116           so2    fold_3                           D+2       3.43    0.132
 6988 Noida Sector 116           so2    fold_3                           D+3       3.51    0.105
 6988 Noida Sector 116           so2    holdout_120d                     D+2       4.16   -0.065
 6988 Noida Sector 116           so2    holdout_120d                     D+3       4.21   -0.098
 7005 Ghaziabad (Loni)           pm25   fold_1_stubble_oct_nov_2025      D+2      75.21    0.492
 7005 Ghaziabad (Loni)           pm25   fold_1_stubble_oct_nov_2025      D+3      68.81    0.555
 7005 Ghaziabad (Loni)           pm25   fold_2                           D+2      67.11    0.543
 7005 Ghaziabad (Loni)           pm25   fold_2                           D+3      65.56    0.562
 7005 Ghaziabad (Loni)           pm25   fold_3                           D+2      57.27    0.093
 7005 Ghaziabad (Loni)           pm25   fold_3                           D+3      59.81    0.004
 7005 Ghaziabad (Loni)           pm25   holdout_120d                     D+2      23.74    0.008
 7005 Ghaziabad (Loni)           pm25   holdout_120d                     D+3      23.66   -0.012
 7005 Ghaziabad (Loni)           pm10   fold_1_stubble_oct_nov_2025      D+2     120.23    0.278
 7005 Ghaziabad (Loni)           pm10   fold_1_stubble_oct_nov_2025      D+3     112.45    0.330
 7005 Ghaziabad (Loni)           pm10   fold_2                           D+2     105.64    0.414
 7005 Ghaziabad (Loni)           pm10   fold_2                           D+3     100.31    0.471
 7005 Ghaziabad (Loni)           pm10   fold_3                           D+2      93.92    0.101
 7005 Ghaziabad (Loni)           pm10   fold_3                           D+3      98.97   -0.007
 7005 Ghaziabad (Loni)           pm10   holdout_120d                     D+2     105.80    0.055
 7005 Ghaziabad (Loni)           pm10   holdout_120d                     D+3     106.00    0.049
 7005 Ghaziabad (Loni)           no2    fold_1_stubble_oct_nov_2025      D+2      17.28    0.573
 7005 Ghaziabad (Loni)           no2    fold_1_stubble_oct_nov_2025      D+3      18.51    0.487
 7005 Ghaziabad (Loni)           no2    fold_2                           D+2      16.74    0.559
 7005 Ghaziabad (Loni)           no2    fold_2                           D+3      17.85    0.498
 7005 Ghaziabad (Loni)           no2    fold_3                           D+2      16.00   -0.110
 7005 Ghaziabad (Loni)           no2    fold_3                           D+3      16.56   -0.200
 7005 Ghaziabad (Loni)           no2    holdout_120d                     D+2       9.22    0.398
 7005 Ghaziabad (Loni)           no2    holdout_120d                     D+3      10.05    0.289
 7005 Ghaziabad (Loni)           o3     fold_1_stubble_oct_nov_2025      D+2      10.62    0.402
 7005 Ghaziabad (Loni)           o3     fold_1_stubble_oct_nov_2025      D+3      11.12    0.344
 7005 Ghaziabad (Loni)           o3     fold_2                           D+2      10.18    0.415
 7005 Ghaziabad (Loni)           o3     fold_2                           D+3      10.39    0.396
 7005 Ghaziabad (Loni)           o3     fold_3                           D+2      13.80    0.422
 7005 Ghaziabad (Loni)           o3     fold_3                           D+3      14.08    0.418
 7005 Ghaziabad (Loni)           o3     holdout_120d                     D+2      17.02   -0.377
 7005 Ghaziabad (Loni)           o3     holdout_120d                     D+3      16.90   -0.478
 7005 Ghaziabad (Loni)           so2    fold_1_stubble_oct_nov_2025      D+2       3.66    0.439
 7005 Ghaziabad (Loni)           so2    fold_1_stubble_oct_nov_2025      D+3       3.96    0.333
 7005 Ghaziabad (Loni)           so2    fold_2                           D+2       3.59    0.489
 7005 Ghaziabad (Loni)           so2    fold_2                           D+3       3.82    0.422
 7005 Ghaziabad (Loni)           so2    fold_3                           D+2       4.25   -0.029
 7005 Ghaziabad (Loni)           so2    fold_3                           D+3       4.37   -0.095
 7005 Ghaziabad (Loni)           so2    holdout_120d                     D+2       5.09   -0.260
 7005 Ghaziabad (Loni)           so2    holdout_120d                     D+3       4.89   -0.156
 8235 Jahangirpuri               pm25   fold_3                           D+2      37.24    0.502
 8235 Jahangirpuri               pm25   fold_3                           D+3      38.22    0.472
 8235 Jahangirpuri               pm25   holdout_120d                     D+2      22.69   -0.243
 8235 Jahangirpuri               pm25   holdout_120d                     D+3      22.00   -0.173
 8235 Jahangirpuri               pm10   fold_3                           D+2      75.33    0.132
 8235 Jahangirpuri               pm10   fold_3                           D+3      76.74    0.095
 8235 Jahangirpuri               pm10   holdout_120d                     D+2      83.71   -0.027
 8235 Jahangirpuri               pm10   holdout_120d                     D+3      83.90   -0.041
 8235 Jahangirpuri               no2    fold_3                           D+2      14.83    0.641
 8235 Jahangirpuri               no2    fold_3                           D+3      15.68    0.596
 8235 Jahangirpuri               no2    holdout_120d                     D+2      14.14   -0.052
 8235 Jahangirpuri               no2    holdout_120d                     D+3      14.67   -0.151
 8235 Jahangirpuri               o3     fold_3                           D+2      13.78    0.155
 8235 Jahangirpuri               o3     fold_3                           D+3      13.60    0.173
 8235 Jahangirpuri               o3     holdout_120d                     D+2       7.16    0.355
 8235 Jahangirpuri               o3     holdout_120d                     D+3       7.45    0.267
 8235 Jahangirpuri               so2    fold_3                           D+2       9.08    0.592
 8235 Jahangirpuri               so2    fold_3                           D+3      10.27    0.487
 8235 Jahangirpuri               so2    holdout_120d                     D+2       6.26   -0.205
 8235 Jahangirpuri               so2    holdout_120d                     D+3       6.67   -0.356
 8365 Nehru Nagar                pm25   fold_1_stubble_oct_nov_2025      D+2      73.44    0.430
 8365 Nehru Nagar                pm25   fold_1_stubble_oct_nov_2025      D+3      71.94    0.429
 8365 Nehru Nagar                pm25   fold_2                           D+2      67.75    0.576
 8365 Nehru Nagar                pm25   fold_2                           D+3      66.58    0.587
 8365 Nehru Nagar                pm25   fold_3                           D+2      32.76    0.612
 8365 Nehru Nagar                pm25   fold_3                           D+3      33.90    0.583
 8365 Nehru Nagar                pm25   holdout_120d                     D+2      16.15   -0.331
 8365 Nehru Nagar                pm25   holdout_120d                     D+3      16.10   -0.335
 8365 Nehru Nagar                pm10   fold_1_stubble_oct_nov_2025      D+2     116.96    0.278
 8365 Nehru Nagar                pm10   fold_1_stubble_oct_nov_2025      D+3     114.79    0.270
 8365 Nehru Nagar                pm10   fold_2                           D+2     100.10    0.459
 8365 Nehru Nagar                pm10   fold_2                           D+3      98.62    0.471
 8365 Nehru Nagar                pm10   fold_3                           D+2      63.89    0.250
